2012-11-28 21:08:26,608 [main] INFO  o.r.s.net.rtmp.RTMPMinaTransport - RTMP Mina Transport bound to /0.0.0.0:1935
2012-11-28 21:08:26,609 [main] INFO  o.r.s.net.rtmp.RTMPMinaTransport - RTMP Mina Transport Settings
2012-11-28 21:08:26,609 [main] INFO  o.r.s.net.rtmp.RTMPMinaTransport - I/O Threads: 16
2012-11-28 21:08:26,705 [main] INFO  o.r.s.net.rtmp.RTMPMinaTransport - TCP No Delay: true
2012-11-28 21:08:26,705 [main] INFO  o.r.s.net.rtmp.RTMPMinaTransport - Settings - send buffer size: -1 recv buffer size: -1 so linger: -1 traffic class: 8
2012-11-28 21:08:31,767 [main] INFO  org.red5.server.ContextLoader - ContextLoader init
2012-11-28 21:08:31,769 [main] INFO  org.red5.server.ContextLoader - Loading: default.context = ${red5.root}/webapps/red5-default.xml => /home/windcolor/red5-1.0.0/webapps/red5-default.xml
2012-11-28 21:08:31,770 [main] INFO  o.s.c.s.FileSystemXmlApplicationContext - Refreshing org.springframework.context.support.FileSystemXmlApplicationContext@2bf09a31: startup date [Wed Nov 28 21:08:31 CST 2012]; parent: ApplicationContext 'red5.common'
2012-11-28 21:08:31,772 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/home/windcolor/red5-1.0.0/webapps/red5-default.xml]
2012-11-28 21:08:31,815 [main] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@313d21d6: defining beans [global.clientRegistry,global.serviceInvoker,global.mappingStrategy,global.context,global.handler,global.scope,red5.scopeResolver]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@4dbb9a58
2012-11-28 21:08:31,892 [main] INFO  org.red5.server.Context - Setting parent bean factory as core
2012-11-28 21:08:32,069 [main] INFO  org.red5.server.tomcat.TomcatLoader - Setting connector: org.apache.catalina.connector.Connector
2012-11-28 21:08:32,069 [main] INFO  org.red5.server.tomcat.TomcatLoader - Address to bind: /0.0.0.0:5080
2012-11-28 21:08:32,070 [main] INFO  org.red5.server.tomcat.TomcatLoader - Loading tomcat context
2012-11-28 21:08:32,070 [main] INFO  org.red5.server.tomcat.TomcatLoader - Server root: /home/windcolor/red5-1.0.0
2012-11-28 21:08:32,070 [main] INFO  org.red5.server.tomcat.TomcatLoader - Config root: /home/windcolor/red5-1.0.0/conf
2012-11-28 21:08:32,093 [main] INFO  org.red5.server.tomcat.TomcatLoader - Application root: /home/windcolor/red5-1.0.0/webapps
2012-11-28 21:08:32,164 [main] INFO  org.red5.server.tomcat.TomcatLoader - Starting Tomcat servlet engine
2012-11-28 21:08:32,164 [main] INFO  o.apache.catalina.startup.Embedded - Starting tomcat server
2012-11-28 21:08:32,273 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/6.0.32
2012-11-28 21:08:32,423 [main] INFO  org.apache.catalina.realm.JAASRealm - Set JAAS app name red5Engine
2012-11-28 21:08:32,772 [main] INFO  o.a.coyote.http11.Http11Protocol - Initializing Coyote HTTP/1.1 on http-0.0.0.0-5080
2012-11-28 21:08:32,784 [main] INFO  o.a.coyote.http11.Http11Protocol - Starting Coyote HTTP/1.1 on http-0.0.0.0-5080
2012-11-28 21:08:32,800 [main] INFO  org.red5.server.tomcat.TomcatLoader - Dedicated RTMPT server configuration was not specified
2012-11-28 21:08:32,833 [Launcher:/] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Nov 28 21:08:32 CST 2012]; parent: org.springframework.context.support.FileSystemXmlApplicationContext@2bf09a31
2012-11-28 21:08:32,833 [Launcher:/installer] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Nov 28 21:08:32 CST 2012]; parent: org.springframework.context.support.FileSystemXmlApplicationContext@2bf09a31
2012-11-28 21:08:32,834 [Launcher:/chat] INFO  o.s.w.c.s.XmlWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Wed Nov 28 21:08:32 CST 2012]; parent: org.springframework.context.support.FileSystemXmlApplicationContext@2bf09a31
2012-11-28 21:08:32,849 [Launcher:/chat] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/red5-web.xml]
2012-11-28 21:08:32,849 [Launcher:/installer] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/red5-web.xml]
2012-11-28 21:08:32,849 [Launcher:/] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from ServletContext resource [/WEB-INF/red5-web.xml]
2012-11-28 21:08:32,908 [Launcher:/] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/WEB-INF/red5-web.properties]
2012-11-28 21:08:32,908 [Launcher:/installer] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/WEB-INF/red5-web.properties]
2012-11-28 21:08:32,916 [Launcher:/] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@308a1f38: defining beans [placeholderConfig,web.context,web.scope]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@313d21d6
2012-11-28 21:08:32,928 [Launcher:/installer] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@3341b736: defining beans [placeholderConfig,web.context,web.scope,web.handler,installer.service]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@313d21d6
2012-11-28 21:08:32,929 [Launcher:/chat] INFO  o.s.b.f.c.PropertyPlaceholderConfigurer - Loading properties file from ServletContext resource [/WEB-INF/red5-web.properties]
2012-11-28 21:08:32,937 [Launcher:/chat] INFO  o.s.b.f.s.DefaultListableBeanFactory - Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@6080669d: defining beans [placeholderConfig,web.context,web.scope,web.handler]; parent: org.springframework.beans.factory.support.DefaultListableBeanFactory@313d21d6
2012-11-28 21:08:32,947 [Launcher:/installer] INFO  org.red5.server.Context - Setting parent bean factory as core
2012-11-28 21:08:32,948 [Launcher:/] INFO  org.red5.server.Context - Setting parent bean factory as core
2012-11-28 21:08:32,947 [Launcher:/chat] INFO  org.red5.server.Context - Setting parent bean factory as core
2012-11-28 21:08:32,993 [Launcher:/chat] INFO  org.red5.server.scope.WebScope - Set server [Server@44091520map[[empty]]]
2012-11-28 21:08:33,023 [Launcher:/chat] INFO  org.red5.server.Server - Add mapping global: default host:  context: chat
2012-11-28 21:08:33,023 [Launcher:/chat] INFO  org.red5.server.Server - Add mapping global: default host: localhost context: chat
2012-11-28 21:08:33,023 [Launcher:/chat] INFO  org.red5.server.Server - Add mapping global: default host: localhost:8088 context: chat
